s=2048, h=64, n=6, b=1, 0.004302024841308594s
s=2048, h=64, n=6, b=5, 0.00019693374633789062s
s=2048, h=64, n=6, b=10, 0.00020074844360351562s
s=2048, h=64, n=8, b=1, 0.0001583099365234375s
s=2048, h=64, n=8, b=5, 0.0001919269561767578s
s=2048, h=64, n=8, b=10, 0.00020241737365722656s
s=2048, h=64, n=12, b=1, 0.00018334388732910156s
s=2048, h=64, n=12, b=5, 0.00020194053649902344s
s=2048, h=64, n=12, b=10, 0.0002205371856689453s
s=2048, h=64, n=16, b=1, 0.00018548965454101562s
s=2048, h=64, n=16, b=5, 0.0002231597900390625s
s=2048, h=64, n=16, b=10, 0.00021600723266601562s
s=2048, h=64, n=20, b=1, 0.00018835067749023438s
s=2048, h=64, n=20, b=5, 0.00020647048950195312s
s=2048, h=64, n=20, b=10, 0.0002167224884033203s
s=2048, h=64, n=25, b=1, 0.00017833709716796875s
s=2048, h=64, n=25, b=5, 0.0002143383026123047s
s=2048, h=64, n=25, b=10, 0.0002105236053466797s
s=2048, h=128, n=6, b=1, 0.005907297134399414s
s=2048, h=128, n=6, b=5, 0.00020742416381835938s
s=2048, h=128, n=6, b=10, 0.00021314620971679688s
s=2048, h=128, n=8, b=1, 0.0001850128173828125s
s=2048, h=128, n=8, b=5, 0.00020503997802734375s
s=2048, h=128, n=8, b=10, 0.00021195411682128906s
s=2048, h=128, n=12, b=1, 0.00017690658569335938s
s=2048, h=128, n=12, b=5, 0.00021839141845703125s
s=2048, h=128, n=12, b=10, 0.00021886825561523438s
s=2048, h=128, n=16, b=1, 0.00020766258239746094s
s=2048, h=128, n=16, b=5, 0.00021409988403320312s
s=2048, h=128, n=16, b=10, 0.00024199485778808594s
s=2048, h=128, n=20, b=1, 0.0001900196075439453s
s=2048, h=128, n=20, b=5, 0.0002238750457763672s
s=2048, h=128, n=20, b=10, 0.0002193450927734375s
s=2048, h=128, n=25, b=1, 0.00020051002502441406s
s=2048, h=128, n=25, b=5, 0.0002148151397705078s
s=2048, h=128, n=25, b=10, 0.0002186298370361328s
s=2048, h=256, n=6, b=1, 0.008780479431152344s
s=2048, h=256, n=6, b=5, 0.0002148151397705078s
s=2048, h=256, n=6, b=10, 0.00021839141845703125s
s=2048, h=256, n=8, b=1, 0.00018548965454101562s
s=2048, h=256, n=8, b=5, 0.00021195411682128906s
s=2048, h=256, n=8, b=10, 0.00021409988403320312s
s=2048, h=256, n=12, b=1, 0.0002148151397705078s
s=2048, h=256, n=12, b=5, 0.0002143383026123047s
s=2048, h=256, n=12, b=10, 0.0002186298370361328s
s=2048, h=256, n=16, b=1, 0.0002086162567138672s
s=2048, h=256, n=16, b=5, 0.0002372264862060547s
s=2048, h=256, n=16, b=10, 0.00022292137145996094s
s=2048, h=256, n=20, b=1, 0.0002143383026123047s
s=2048, h=256, n=20, b=5, 0.0002117156982421875s
s=2048, h=256, n=20, b=10, 0.0002143383026123047s
s=2048, h=256, n=25, b=1, 0.0002129077911376953s
s=2048, h=256, n=25, b=5, 0.0002448558807373047s
s=2048, h=256, n=25, b=10, 0.00021886825561523438s
s=4096, h=64, n=6, b=1, 0.00020933151245117188s
s=4096, h=64, n=6, b=5, 0.00020003318786621094s
s=4096, h=64, n=6, b=10, 0.0002086162567138672s
s=4096, h=64, n=8, b=1, 0.0001697540283203125s
s=4096, h=64, n=8, b=5, 0.0001976490020751953s
s=4096, h=64, n=8, b=10, 0.0002162456512451172s
s=4096, h=64, n=12, b=1, 0.00017786026000976562s
s=4096, h=64, n=12, b=5, 0.00021338462829589844s
s=4096, h=64, n=12, b=10, 0.00020837783813476562s
s=4096, h=64, n=16, b=1, 0.0001773834228515625s
s=4096, h=64, n=16, b=5, 0.00021219253540039062s
s=4096, h=64, n=16, b=10, 0.00023102760314941406s
s=4096, h=64, n=20, b=1, 0.00017881393432617188s
s=4096, h=64, n=20, b=5, 0.00021123886108398438s
s=4096, h=64, n=20, b=10, 0.0002200603485107422s
s=4096, h=64, n=25, b=1, 0.0001976490020751953s
s=4096, h=64, n=25, b=5, 0.00021338462829589844s
s=4096, h=64, n=25, b=10, 0.0002193450927734375s
s=4096, h=128, n=6, b=1, 0.0001995563507080078s
s=4096, h=128, n=6, b=5, 0.00020360946655273438s
s=4096, h=128, n=6, b=10, 0.00020575523376464844s
s=4096, h=128, n=8, b=1, 0.00017786026000976562s
s=4096, h=128, n=8, b=5, 0.00020384788513183594s
s=4096, h=128, n=8, b=10, 0.0002181529998779297s
s=4096, h=128, n=12, b=1, 0.00018906593322753906s
s=4096, h=128, n=12, b=5, 0.00020813941955566406s
s=4096, h=128, n=12, b=10, 0.0002124309539794922s
s=4096, h=128, n=16, b=1, 0.00020599365234375s
s=4096, h=128, n=16, b=5, 0.0002124309539794922s
s=4096, h=128, n=16, b=10, 0.00021457672119140625s
s=4096, h=128, n=20, b=1, 0.0002048015594482422s
s=4096, h=128, n=20, b=5, 0.00021457672119140625s
s=4096, h=128, n=20, b=10, 0.00021696090698242188s
s=4096, h=128, n=25, b=1, 0.00020623207092285156s
s=4096, h=128, n=25, b=5, 0.0002143383026123047s
s=4096, h=128, n=25, b=10, 0.00021982192993164062s
s=4096, h=256, n=6, b=1, 0.00019216537475585938s
s=4096, h=256, n=6, b=5, 0.0002090930938720703s
s=4096, h=256, n=6, b=10, 0.00021719932556152344s
s=4096, h=256, n=8, b=1, 0.0002028942108154297s
s=4096, h=256, n=8, b=5, 0.0002167224884033203s
s=4096, h=256, n=8, b=10, 0.00021147727966308594s
s=4096, h=256, n=12, b=1, 0.000209808349609375s
s=4096, h=256, n=12, b=5, 0.0002117156982421875s
s=4096, h=256, n=12, b=10, 0.00021266937255859375s
s=4096, h=256, n=16, b=1, 0.00020837783813476562s
s=4096, h=256, n=16, b=5, 0.00021004676818847656s
s=4096, h=256, n=16, b=10, 0.00032639503479003906s
s=4096, h=256, n=20, b=1, 0.0002124309539794922s
s=4096, h=256, n=20, b=5, 0.0002205371856689453s
s=4096, h=256, n=20, b=10, 0.0002181529998779297s
s=4096, h=256, n=25, b=1, 0.00021147727966308594s
s=4096, h=256, n=25, b=5, 0.00021576881408691406s
s=4096, h=256, n=25, b=10, 0.0002200603485107422s
s=8192, h=64, n=6, b=1, 0.0001888275146484375s
s=8192, h=64, n=6, b=5, 0.00020742416381835938s
s=8192, h=64, n=6, b=10, 0.00020933151245117188s
s=8192, h=64, n=8, b=1, 0.00017571449279785156s
s=8192, h=64, n=8, b=5, 0.0002052783966064453s
s=8192, h=64, n=8, b=10, 0.00021123886108398438s
s=8192, h=64, n=12, b=1, 0.0001919269561767578s
s=8192, h=64, n=12, b=5, 0.00021004676818847656s
s=8192, h=64, n=12, b=10, 0.00021123886108398438s
s=8192, h=64, n=16, b=1, 0.0002052783966064453s
s=8192, h=64, n=16, b=5, 0.0002167224884033203s
s=8192, h=64, n=16, b=10, 0.00022411346435546875s
s=8192, h=64, n=20, b=1, 0.00020241737365722656s
s=8192, h=64, n=20, b=5, 0.0002148151397705078s
s=8192, h=64, n=20, b=10, 0.000209808349609375s
s=8192, h=64, n=25, b=1, 0.00020694732666015625s
s=8192, h=64, n=25, b=5, 0.0002167224884033203s
s=8192, h=64, n=25, b=10, 0.0002243518829345703s
s=8192, h=128, n=6, b=1, 0.0002002716064453125s
s=8192, h=128, n=6, b=5, 0.00020933151245117188s
s=8192, h=128, n=6, b=10, 0.00021505355834960938s
s=8192, h=128, n=8, b=1, 0.00020503997802734375s
s=8192, h=128, n=8, b=5, 0.0002148151397705078s
s=8192, h=128, n=8, b=10, 0.0002079010009765625s
s=8192, h=128, n=12, b=1, 0.00021076202392578125s
s=8192, h=128, n=12, b=5, 0.0002186298370361328s
s=8192, h=128, n=12, b=10, 0.00021767616271972656s
s=8192, h=128, n=16, b=1, 0.00021076202392578125s
s=8192, h=128, n=16, b=5, 0.00023984909057617188s
s=8192, h=128, n=16, b=10, 0.00022125244140625s
s=8192, h=128, n=20, b=1, 0.0002129077911376953s
s=8192, h=128, n=20, b=5, 0.00022792816162109375s
s=8192, h=128, n=20, b=10, 0.0002186298370361328s
s=8192, h=128, n=25, b=1, 0.00021147727966308594s
s=8192, h=128, n=25, b=5, 0.00026226043701171875s
s=8192, h=128, n=25, b=10, 0.00021982192993164062s
s=8192, h=256, n=6, b=1, 0.0002124309539794922s
s=8192, h=256, n=6, b=5, 0.00023627281188964844s
s=8192, h=256, n=6, b=10, 0.00022172927856445312s
s=8192, h=256, n=8, b=1, 0.00021123886108398438s
s=8192, h=256, n=8, b=5, 0.00021886825561523438s
s=8192, h=256, n=8, b=10, 0.00022292137145996094s
s=8192, h=256, n=12, b=1, 0.0002129077911376953s
s=8192, h=256, n=12, b=5, 0.0002162456512451172s
s=8192, h=256, n=12, b=10, 0.000213623046875s
s=8192, h=256, n=16, b=1, 0.0002129077911376953s
s=8192, h=256, n=16, b=5, 0.00022101402282714844s
s=8192, h=256, n=16, b=10, 0.0002429485321044922s
s=8192, h=256, n=20, b=1, 0.00022292137145996094s
s=8192, h=256, n=20, b=5, 0.0002205371856689453s
s=8192, h=256, n=20, b=10, 0.0002300739288330078s
s=8192, h=256, n=25, b=1, 0.00022172927856445312s
s=8192, h=256, n=25, b=5, 0.00022745132446289062s
s=8192, h=256, n=25, b=10, 0.00023102760314941406s
s=16384, h=64, n=6, b=1, 0.00020647048950195312s
s=16384, h=64, n=6, b=5, 0.00020956993103027344s
s=16384, h=64, n=6, b=10, 0.00021529197692871094s
s=16384, h=64, n=8, b=1, 0.0001976490020751953s
s=16384, h=64, n=8, b=5, 0.000213623046875s
s=16384, h=64, n=8, b=10, 0.00021409988403320312s
s=16384, h=64, n=12, b=1, 0.00021195411682128906s
s=16384, h=64, n=12, b=5, 0.00020837783813476562s
s=16384, h=64, n=12, b=10, 0.0002186298370361328s
s=16384, h=64, n=16, b=1, 0.00021028518676757812s
s=16384, h=64, n=16, b=5, 0.00021076202392578125s
s=16384, h=64, n=16, b=10, 0.0002224445343017578s
s=16384, h=64, n=20, b=1, 0.0002117156982421875s
s=16384, h=64, n=20, b=5, 0.0002124309539794922s
s=16384, h=64, n=20, b=10, 0.0002181529998779297s
s=16384, h=64, n=25, b=1, 0.0002377033233642578s
s=16384, h=64, n=25, b=5, 0.00021219253540039062s
s=16384, h=64, n=25, b=10, 0.00022482872009277344s
s=16384, h=128, n=6, b=1, 0.0002117156982421875s
s=16384, h=128, n=6, b=5, 0.00022864341735839844s
s=16384, h=128, n=6, b=10, 0.0002200603485107422s
s=16384, h=128, n=8, b=1, 0.0002162456512451172s
s=16384, h=128, n=8, b=5, 0.00022077560424804688s
s=16384, h=128, n=8, b=10, 0.00022745132446289062s
s=16384, h=128, n=12, b=1, 0.00021219253540039062s
s=16384, h=128, n=12, b=5, 0.00021338462829589844s
s=16384, h=128, n=12, b=10, 0.0002148151397705078s
s=16384, h=128, n=16, b=1, 0.000209808349609375s
s=16384, h=128, n=16, b=5, 0.00020933151245117188s
s=16384, h=128, n=16, b=10, 0.00021886825561523438s
s=16384, h=128, n=20, b=1, 0.00021338462829589844s
s=16384, h=128, n=20, b=5, 0.0002510547637939453s
s=16384, h=128, n=20, b=10, 0.0002205371856689453s
s=16384, h=128, n=25, b=1, 0.0002143383026123047s
s=16384, h=128, n=25, b=5, 0.00022602081298828125s
s=16384, h=128, n=25, b=10, 0.0002238750457763672s
s=16384, h=256, n=6, b=1, 0.0002334117889404297s
s=16384, h=256, n=6, b=5, 0.0002148151397705078s
s=16384, h=256, n=6, b=10, 0.00021219253540039062s
s=16384, h=256, n=8, b=1, 0.00020956993103027344s
s=16384, h=256, n=8, b=5, 0.0002193450927734375s
s=16384, h=256, n=8, b=10, 0.00021958351135253906s
s=16384, h=256, n=12, b=1, 0.000217437744140625s
s=16384, h=256, n=12, b=5, 0.00022411346435546875s
s=16384, h=256, n=12, b=10, 0.0002262592315673828s
s=16384, h=256, n=16, b=1, 0.00021910667419433594s
s=16384, h=256, n=16, b=5, 0.0002193450927734375s
s=16384, h=256, n=16, b=10, 0.00023603439331054688s
s=16384, h=256, n=20, b=1, 0.00021910667419433594s
s=16384, h=256, n=20, b=5, 0.00022745132446289062s
s=16384, h=256, n=20, b=10, 0.0022013187408447266s
s=16384, h=256, n=25, b=1, 0.00021409988403320312s
s=16384, h=256, n=25, b=5, 0.00021982192993164062s
s=16384, h=256, n=25, b=10, 0.0002288818359375s
s=32768, h=64, n=6, b=1, 0.0002167224884033203s
s=32768, h=64, n=6, b=5, 0.00021147727966308594s
s=32768, h=64, n=6, b=10, 0.0002079010009765625s
s=32768, h=64, n=8, b=1, 0.0002090930938720703s
s=32768, h=64, n=8, b=5, 0.00021767616271972656s
s=32768, h=64, n=8, b=10, 0.00021314620971679688s
s=32768, h=64, n=12, b=1, 0.0002090930938720703s
s=32768, h=64, n=12, b=5, 0.0002117156982421875s
s=32768, h=64, n=12, b=10, 0.00021576881408691406s
s=32768, h=64, n=16, b=1, 0.0002090930938720703s
s=32768, h=64, n=16, b=5, 0.0002117156982421875s
s=32768, h=64, n=16, b=10, 0.00022220611572265625s
s=32768, h=64, n=20, b=1, 0.00020599365234375s
s=32768, h=64, n=20, b=5, 0.00021004676818847656s
s=32768, h=64, n=20, b=10, 0.00022149085998535156s
s=32768, h=64, n=25, b=1, 0.00021505355834960938s
s=32768, h=64, n=25, b=5, 0.00021982192993164062s
s=32768, h=64, n=25, b=10, 0.0002307891845703125s
s=32768, h=128, n=6, b=1, 0.00021409988403320312s
s=32768, h=128, n=6, b=5, 0.00022339820861816406s
s=32768, h=128, n=6, b=10, 0.00022029876708984375s
s=32768, h=128, n=8, b=1, 0.00022292137145996094s
s=32768, h=128, n=8, b=5, 0.0002155303955078125s
s=32768, h=128, n=8, b=10, 0.0002193450927734375s
s=32768, h=128, n=12, b=1, 0.0002155303955078125s
s=32768, h=128, n=12, b=5, 0.00021839141845703125s
s=32768, h=128, n=12, b=10, 0.0002269744873046875s
s=32768, h=128, n=16, b=1, 0.00021409988403320312s
s=32768, h=128, n=16, b=5, 0.00021839141845703125s
s=32768, h=128, n=16, b=10, 0.0002446174621582031s
s=32768, h=128, n=20, b=1, 0.00021219253540039062s
s=32768, h=128, n=20, b=5, 0.00022077560424804688s
s=32768, h=128, n=20, b=10, 0.00022792816162109375s
s=32768, h=128, n=25, b=1, 0.00020956993103027344s
s=32768, h=128, n=25, b=5, 0.0002295970916748047s
s=32768, h=128, n=25, b=10, 0.0002334117889404297s
s=32768, h=256, n=6, b=1, 0.00021600723266601562s
s=32768, h=256, n=6, b=5, 0.00022077560424804688s
s=32768, h=256, n=6, b=10, 0.00022482872009277344s
s=32768, h=256, n=8, b=1, 0.0002167224884033203s
s=32768, h=256, n=8, b=5, 0.0002200603485107422s
s=32768, h=256, n=8, b=10, 0.00024819374084472656s
s=32768, h=256, n=12, b=1, 0.00021386146545410156s
s=32768, h=256, n=12, b=5, 0.0002357959747314453s
s=32768, h=256, n=12, b=10, 0.00024127960205078125s
s=32768, h=256, n=16, b=1, 0.00021719932556152344s
s=32768, h=256, n=16, b=5, 0.0002288818359375s
s=32768, h=256, n=16, b=10, 0.000232696533203125s
s=32768, h=256, n=20, b=1, 0.00022482872009277344s
s=32768, h=256, n=20, b=5, 0.0002288818359375s
s=32768, h=256, n=20, b=10, 0.0018062591552734375s
s=32768, h=256, n=25, b=1, 0.00022673606872558594s
s=32768, h=256, n=25, b=5, 0.0002295970916748047s
s=32768, h=256, n=25, b=10, 0.0006682872772216797s
s=65536, h=64, n=6, b=1, 0.00023794174194335938s
s=65536, h=64, n=6, b=5, 0.00021886825561523438s
s=65536, h=64, n=6, b=10, 0.00022554397583007812s
s=65536, h=64, n=8, b=1, 0.00021195411682128906s
s=65536, h=64, n=8, b=5, 0.0002257823944091797s
s=65536, h=64, n=8, b=10, 0.00021982192993164062s
s=65536, h=64, n=12, b=1, 0.00021386146545410156s
s=65536, h=64, n=12, b=5, 0.0002224445343017578s
s=65536, h=64, n=12, b=10, 0.0002377033233642578s
s=65536, h=64, n=16, b=1, 0.00021457672119140625s
s=65536, h=64, n=16, b=5, 0.00022220611572265625s
s=65536, h=64, n=16, b=10, 0.00022935867309570312s
s=65536, h=64, n=20, b=1, 0.00021576881408691406s
s=65536, h=64, n=20, b=5, 0.00022101402282714844s
s=65536, h=64, n=20, b=10, 0.00023317337036132812s
s=65536, h=64, n=25, b=1, 0.0002105236053466797s
s=65536, h=64, n=25, b=5, 0.00022530555725097656s
s=65536, h=64, n=25, b=10, 0.00024247169494628906s
s=65536, h=128, n=6, b=1, 0.00021982192993164062s
s=65536, h=128, n=6, b=5, 0.00021767616271972656s
s=65536, h=128, n=6, b=10, 0.00022840499877929688s
s=65536, h=128, n=8, b=1, 0.00021767616271972656s
s=65536, h=128, n=8, b=5, 0.00022029876708984375s
s=65536, h=128, n=8, b=10, 0.00023698806762695312s
s=65536, h=128, n=12, b=1, 0.0002155303955078125s
s=65536, h=128, n=12, b=5, 0.00023102760314941406s
s=65536, h=128, n=12, b=10, 0.0002455711364746094s
s=65536, h=128, n=16, b=1, 0.00021958351135253906s
s=65536, h=128, n=16, b=5, 0.0002334117889404297s
s=65536, h=128, n=16, b=10, 0.00023651123046875s
s=65536, h=128, n=20, b=1, 0.00023031234741210938s
s=65536, h=128, n=20, b=5, 0.00023317337036132812s
s=65536, h=128, n=20, b=10, 0.00023317337036132812s
s=65536, h=128, n=25, b=1, 0.00021982192993164062s
s=65536, h=128, n=25, b=5, 0.00022864341735839844s
s=65536, h=128, n=25, b=10, 0.0004572868347167969s
s=65536, h=256, n=6, b=1, 0.00022721290588378906s
s=65536, h=256, n=6, b=5, 0.00022339820861816406s
s=65536, h=256, n=6, b=10, 0.00023746490478515625s
s=65536, h=256, n=8, b=1, 0.00022339820861816406s
s=65536, h=256, n=8, b=5, 0.00022649765014648438s
s=65536, h=256, n=8, b=10, 0.00023555755615234375s
s=65536, h=256, n=12, b=1, 0.00022482872009277344s
s=65536, h=256, n=12, b=5, 0.0002307891845703125s
