s=2048, h=64, n=6, b=1, 0.0004444122314453125s
s=2048, h=64, n=6, b=5, 0.0008664131164550781s
s=2048, h=64, n=6, b=10, 0.001392364501953125s
s=2048, h=64, n=8, b=1, 0.00042724609375s
s=2048, h=64, n=8, b=5, 0.00075531005859375s
s=2048, h=64, n=8, b=10, 0.001873016357421875s
s=2048, h=64, n=12, b=1, 0.0005116462707519531s
s=2048, h=64, n=12, b=5, 0.0019202232360839844s
s=2048, h=64, n=12, b=10, 0.001982450485229492s
s=2048, h=64, n=16, b=1, 0.0005457401275634766s
s=2048, h=64, n=16, b=5, 0.0016674995422363281s
s=2048, h=64, n=16, b=10, 0.002033233642578125s
s=2048, h=64, n=20, b=1, 0.0007791519165039062s
s=2048, h=64, n=20, b=5, 0.0022759437561035156s
s=2048, h=64, n=20, b=10, 0.0029709339141845703s
s=2048, h=64, n=25, b=1, 0.0006775856018066406s
s=2048, h=64, n=25, b=5, 0.0029916763305664062s
s=2048, h=64, n=25, b=10, 0.005365610122680664s
s=2048, h=128, n=6, b=1, 0.0008032321929931641s
s=2048, h=128, n=6, b=5, 0.0017197132110595703s
s=2048, h=128, n=6, b=10, 0.0022878646850585938s
s=2048, h=128, n=8, b=1, 0.000530242919921875s
s=2048, h=128, n=8, b=5, 0.0012216567993164062s
s=2048, h=128, n=8, b=10, 0.0024924278259277344s
s=2048, h=128, n=12, b=1, 0.0006418228149414062s
s=2048, h=128, n=12, b=5, 0.0024361610412597656s
s=2048, h=128, n=12, b=10, 0.0035467147827148438s
s=2048, h=128, n=16, b=1, 0.0006909370422363281s
s=2048, h=128, n=16, b=5, 0.0022847652435302734s
s=2048, h=128, n=16, b=10, 0.003612995147705078s
s=2048, h=128, n=20, b=1, 0.0009100437164306641s
s=2048, h=128, n=20, b=5, 0.0028350353240966797s
s=2048, h=128, n=20, b=10, 0.004765987396240234s
s=2048, h=128, n=25, b=1, 0.0010998249053955078s
s=2048, h=128, n=25, b=5, 0.003753662109375s
s=2048, h=128, n=25, b=10, 0.0069789886474609375s
s=2048, h=256, n=6, b=1, 0.0008237361907958984s
s=2048, h=256, n=6, b=5, 0.001870870590209961s
s=2048, h=256, n=6, b=10, 0.003448486328125s
s=2048, h=256, n=8, b=1, 0.0009758472442626953s
s=2048, h=256, n=8, b=5, 0.002047300338745117s
s=2048, h=256, n=8, b=10, 0.003380298614501953s
s=2048, h=256, n=12, b=1, 0.0008759498596191406s
s=2048, h=256, n=12, b=5, 0.003672361373901367s
s=2048, h=256, n=12, b=10, 0.0057849884033203125s
